posX posY force flexion t0 t1 t2 t3 t4 t5 t6 t7 t8 t9 t10 t11 t12 t13 t14 t15 t16 t17 t18 t19 t20 t21 t22 t23 t24 t25 t26 t27
12.0 4.0 29.2 1.831 15642 13858 18944 10797 21908 16390 11749 10971 26549 10017 10256 10226 35791 7890 9827 10059 35615 10767 13441 15861 11120 35544 10852 15531 35696 11159 10550 16270
12.0 4.0 34.26 1.973 15634 13907 19066 10825 21913 16442 11816 10980 26583 10023 10266 10227 35823 7907 9846 10056 35617 10762 13420 15875 11132 35538 10846 15528 35692 11148 10546 16291
12.0 4.0 39.38 2.119 15644 13953 19237 10859 21917 16429 11888 10995 26582 10035 10280 10236 35819 7837 9836 10059 35613 10765 13419 15868 11119 35530 10844 15535 35700 11153 10539 16315
12.0 4.0 47.4 2.313 15649 14028 19449 10899 21911 16484 11980 11031 26598 10031 10287 10248 35813 7902 9841 10061 35626 10762 13423 15877 11100 35530 10844 15535 35693 11146 10538 16307
16.0 4.0 5.08 0.669 15754 12951 18197 11305 22010 16063 11213 11073 26676 10055 10284 10283 35929 7968 9903 10123 35738 10852 13519 15976 11219 35671 10930 15618 35791 11242 10623 16347
16.0 4.0 10.32 0.993 15756 12916 18461 11595 21983 16060 11326 11130 26686 10054 10286 10282 35940 7997 9899 10132 35739 10848 13520 15955 11208 35669 10933 15623 35787 11238 10617 16369
16.0 4.0 15.46 1.258 15749 12938 18567 11779 21967 16068 11458 11214 26676 10050 10290 10283 35923 7987 9899 10131 35741 10838 13517 15972 11208 35649 10917 15616 35781 11227 10613 16362
16.0 4.0 19.52 1.425 15716 12945 18684 11892 22014 16031 11545 11278 26628 10047 10294 10284 35927 8004 9908 10123 35740 10839 13521 15962 11195 35640 10918 15616 35785 11229 10622 16359
16.0 4.0 25.38 1.642 15726 12932 18808 12042 21977 16076 11634 11337 26691 10054 10295 10275 35920 7989 9905 10119 35717 10839 13507 15957 11197 35645 10918 15624 35780 11226 10620 16392
16.0 4.0 29.92 1.792 15725 12910 18900 12128 22006 16077 11705 11393 26642 10057 10300 10277 35904 7968 9893 10121 35697 10833 13521 15960 11194 35634 10910 15617 35783 11225 10611 16372
16.0 4.0 35.04 1.978 15731 12932 18996 12249 22003 16115 11793 11458 26682 10059 10315 10278 35919 7990 9910 10123 35716 10836 13508 15955 11181 35634 10908 15622 35786 11225 10610 16357
16.0 4.0 40.32 2.113 15748 12911 19104 12307 21981 16086 11847 11507 26671 10072 10315 10275 35927 8004 9914 10126 35716 10833 13514 15953 11188 35636 10919 15618 35791 11216 10612 16376
16.0 4.0 45.1 2.2 15741 12912 19189 12353 21995 16108 11876 11545 26687 10070 10322 10282 35919 7980 9912 10122 35705 10837 13508 15957 11193 35636 10918 15624 35783 11229 10605 16381
16.0 4.0 49.22 2.299 15760 12917 19261 12419 22009 16139 11908 11581 26670 10076 10332 10283 35924 7996 9909 10131 35712 10829 13489 15955 11179 35636 10918 15623 35794 11222 10614 16388
20.0 4.0 5.44 1.082 15661 12791 17231 11757 21919 15911 10918 11113 26583 9998 10215 10228 35863 7936 9859 10082 35671 10804 13461 15907 11165 35618 10895 15576 35729 11181 10578 16295
20.0 4.0 10.98 1.447 15678 12789 17243 12123 21905 15932 10922 11326 26565 9988 10211 10225 35849 7924 9845 10081 35646 10799 13444 15898 11151 35593 10885 15562 35713 11178 10567 16294
20.0 4.0 15.52 1.668 15680 12768 17285 12283 21898 15914 10929 11415 26560 9983 10219 10221 35845 7931 9860 10076 35674 10786 13453 15886 11151 35586 10880 15562 35709 11177 10564 16292
20.0 4.0 19.72 1.844 15652 12756 17305 12432 21910 15924 10943 11502 26582 9978 10217 10223 35842 7896 9856 10077 35635 10797 13467 15895 11154 35582 10871 15559 35719 11186 10570 16294
20.0 4.0 25.58 2.081 15670 12777 17332 12633 21906 15911 10962 11638 26577 9979 10219 10228 35840 7930 9849 10083 35664 10798 13452 15891 11135 35572 10878 15565 35714 11170 10575 16312
20.0 4.0 30.18 2.251 15685 12785 17356 12792 21913 15912 10974 11692 26556 9984 10222 10239 35828 7944 9853 10081 35640 10799 13449 15887 11147 35583 10881 15548 35723 11183 10572 16301
20.0 4.0 34.82 2.43 15671 12782 17365 12995 21926 15911 10999 11785 26559 9991 10233 10234 35830 7891 9851 10075 35674 10792 13472 15899 11150 35582 10877 15556 35713 11178 10562 16307
20.0 4.0 39.78 2.549 15654 12781 17350 13162 21891 15928 11023 11840 26581 9995 10237 10236 35865 7890 9856 10079 35655 10793 13449 15913 11148 35574 10869 15575 35719 11169 10570 16308
20.0 4.0 47.12 2.76 15659 12752 17366 13513 21888 15925 11042 11910 26605 10004 10247 10241 35850 7893 9873 10079 35653 10783 13463 15901 11133 35574 10868 15576 35723 11174 10566 16312
4.0 8.0 5.48 1.052 15816 12925 17229 10617 23430 16352 10917 10947 26664 10055 10234 10233 35860 7922 9866 10081 35695 10812 13479 15914 11186 35609 10892 15584 35722 11190 10574 16322
