0.24 15703 12945 17162 10595 21952 15939 10903 10936 26598 10002 10211 10225 35817 7933 9873 10075 35631 10812 13468 15893 11170 35587 10890 15545 35688 11182 10556 16263
0.24 15705 12929 17183 10595 21933 15935 10903 10934 26576 10008 10220 10225 35836 7877 9859 10080 35638 10811 13468 15897 11163 35585 10887 15543 35691 11176 10566 16284
0.24 15694 12915 17177 10598 21944 15942 10909 10937 26624 9998 10216 10227 35837 7913 9868 10080 35611 10813 13468 15893 11165 35579 10886 15554 35694 11186 10557 16284
0.24 15717 12947 17179 10595 21917 15963 10901 10933 26601 10012 10213 10227 35836 7891 9864 10074 35649 10810 13474 15906 11163 35596 10892 15563 35694 11180 10557 16273
0.24 15710 12929 17176 10600 21923 15953 10899 10939 26592 9999 10211 10233 35827 7935 9858 10075 35652 10809 13448 15898 11168 35586 10892 15558 35685 11181 10560 16281
0.24 15741 12925 17202 10594 21929 15972 10905 10936 26617 9990 10214 10228 35812 7910 9866 10084 35622 10812 13475 15881 11169 35590 10897 15568 35692 11182 10556 16274
0.24 15688 12920 17152 10596 21937 15960 10907 10936 26594 9996 10212 10228 35827 7922 9865 10080 35623 10817 13456 15904 11162 35589 10892 15564 35685 11181 10561 16282
0.24 15697 12919 17140 10595 21955 15955 10909 10933 26616 9991 10212 10235 35810 7897 9869 10077 35621 10816 13453 15905 11158 35578 10890 15551 35685 11184 10555 16283
0.24 15697 12930 17128 10597 21937 15950 10905 10936 26609 9993 10222 10227 35806 7897 9861 10073 35624 10814 13472 15903 11166 35593 10897 15565 35691 11175 10558 16279
0.24 15718 12930 17166 10595 21911 15950 10907 10940 26592 9991 10217 10229 35821 7904 9867 10084 35642 10815 13474 15899 11171 35583 10900 15560 35684 11182 10558 16283
0.24 15718 12930 17169 10595 21943 15991 10905 10939 26580 9999 10216 10230 35804 7889 9873 10081 35643 10811 13461 15900 11158 35588 10896 15547 35693 11178 10556 16285
0.24 15692 12932 17160 10597 21940 15968 10899 10939 26592 10000 10213 10240 35814 7886 9864 10076 35634 10811 13463 15898 11174 35579 10881 15553 35687 11175 10556 16289
0.24 15717 12925 17143 10595 21931 15965 10906 10939 26596 10003 10217 10236 35820 7924 9869 10081 35625 10818 13461 15898 11158 35571 10891 15545 35678 11180 10554 16292
0.24 15698 12925 17119 10591 21955 15947 10906 10938 26583 10002 10213 10227 35835 7853 9870 10075 35656 10813 13465 15908 11171 35586 10897 15562 35686 11165 10562 16293
0.24 15693 12915 17187 10594 21938 15961 10902 10941 26602 9994 10215 10228 35817 7929 9872 10077 35645 10813 13453 15893 11173 35590 10884 15564 35693 11175 10556 16283
0.24 15697 12937 17155 10594 21954 15948 10912 10937 26604 10016 10217 10225 35814 7901 9867 10082 35660 10818 13464 15906 11174 35593 10891 15557 35691 11183 10562 16268
0.24 15673 12924 17151 10595 21940 15961 10908 10939 26596 10007 10218 10229 35824 7914 9879 10081 35643 10813 13464 15924 11165 35588 10889 15559 35687 11179 10561 16279
0.24 15689 12957 17182 10595 21942 15959 10910 10939 26596 9994 10219 10236 35835 7895 9878 10082 35630 10813 13466 15899 11168 35584 10887 15553 35699 11187 10570 16289
0.24 15686 12958 17175 10596 21941 15972 10909 10939 26582 9998 10220 10236 35814 7893 9861 10079 35631 10815 13460 15897 11174 35587 10895 15562 35694 11177 10560 16286
0.32 15720 12986 17141 10595 21919 15975 10908 10938 26620 10010 10216 10228 35818 7918 9876 10081 35649 10818 13467 15893 11161 35588 10896 15563 35685 11186 10554 16291
0.62 15740 13015 17180 10592 21922 16021 10913 10936 26598 10003 10222 10225 35807 7887 9872 10085 35636 10814 13455 15913 11164 35581 10896 15560 35682 11174 10550 16258
