0.08 15604 12701 17117 10535 21872 15860 10876 10893 26581 9966 10196 10237 35833 7901 9876 10095 35650 10927 13547 15926 11099 35779 11017 15534 35630 11161 10571 16226
0.08 15621 12714 17162 10534 21869 15844 10875 10895 26593 9967 10195 10236 35837 7896 9883 10093 35651 10925 13555 15924 11097 35774 11011 15553 35633 11172 10562 16219
0.08 15611 12708 17109 10537 21866 15851 10874 10894 26619 9961 10193 10232 35846 7885 9873 10096 35627 10919 13557 15931 11104 35777 11007 15539 35634 11156 10565 16223
0.08 15601 12707 17138 10534 21875 15856 10880 10896 26605 9957 10191 10238 35839 7872 9876 10095 35668 10929 13542 15933 11113 35779 11009 15535 35635 11156 10566 16209
0.08 15590 12709 17128 10538 21890 15845 10875 10893 26586 9976 10188 10238 35851 7882 9878 10090 35667 10929 13561 15938 11094 35778 10998 15540 35630 11158 10561 16210
0.08 15611 12728 17116 10533 21901 15839 10879 10893 26583 9973 10188 10232 35835 7894 9869 10091 35671 10926 13556 15929 11105 35774 11004 15549 35628 11156 10559 16211
0.08 15602 12710 17089 10531 21863 15858 10875 10893 26581 9957 10187 10231 35830 7858 9873 10099 35655 10924 13536 15919 11115 35771 10999 15532 35627 11160 10567 16209
0.06 15595 12698 17103 10539 21862 15848 10877 10893 26610 9960 10198 10237 35844 7860 9870 10090 35662 10922 13534 15922 11103 35779 11005 15534 35620 11155 10561 16215
0.08 15566 12698 17105 10532 21845 15842 10877 10893 26587 9957 10195 10238 35851 7856 9868 10098 35652 10921 13556 15920 11101 35770 11003 15535 35625 11163 10561 16216
0.08 15620 12711 17117 10533 21856 15857 10876 10893 26582 9974 10188 10245 35823 7891 9871 10099 35655 10923 13546 15927 11109 35773 11016 15538 35627 11149 10560 16211
0.12 15586 12714 17103 10533 21877 15851 10878 10891 26603 9958 10201 10239 35844 7872 9875 10090 35659 10927 13559 15926 11105 35770 11011 15540 35628 11159 10566 16203
0.18 15604 12701 17097 10532 21864 15842 10875 10894 26572 9954 10198 10240 35854 7882 9879 10093 35661 10922 13556 15935 11096 35771 11022 15536 35631 11165 10559 16188
0.3 15613 12693 17136 10537 21842 15870 10876 10891 26566 9954 10197 10233 35849 7864 9873 10099 35644 10927 13562 15939 11111 35777 11050 15553 35624 11155 10568 16232
0.54 15612 12689 17120 10533 21890 15849 10877 10893 26608 9953 10195 10238 35831 7896 9864 10101 35652 10930 13591 15963 11108 35791 11097 15572 35635 11167 10569 16221
0.7 15604 12711 17138 10539 21870 15847 10873 10894 26591 9964 10185 10239 35841 7893 9878 10089 35658 10924 13595 15985 11100 35783 11115 15611 35634 11172 10575 16217
0.84 15598 12722 17102 10540 21867 15866 10875 10893 26605 9955 10190 10240 35835 7863 9872 10092 35646 10930 13604 15998 11098 35778 11147 15625 35618 11168 10577 16211
1.14 15605 12716 17096 10533 21872 15849 10877 10893 26575 9961 10188 10241 35827 7883 9888 10095 35611 10928 13622 16004 11099 35794 11173 15638 35626 11163 10590 16218
