0.22 15646 12777 17195 10565 21914 16001 11002 10942 26684 10118 10531 10288 35883 7924 10060 10143 35619 10847 13494 15911 11136 35590 10896 15525 35677 11169 10541 16255
0.22 15635 12804 17200 10565 21933 15995 11003 10936 26714 10110 10527 10283 35879 7972 10058 10133 35633 10842 13497 15907 11143 35603 10890 15535 35666 11158 10550 16246
0.22 15637 12802 17228 10565 21961 15974 11002 10939 26703 10107 10526 10291 35871 7929 10059 10136 35609 10845 13490 15915 11135 35588 10895 15540 35675 11162 10547 16254
0.22 15627 12806 17196 10564 21938 16005 10995 10940 26695 10117 10528 10292 35861 7984 10060 10137 35613 10844 13489 15921 11145 35596 10889 15540 35671 11165 10546 16249
0.22 15660 12803 17199 10563 21943 15980 10997 10939 26717 10113 10525 10286 35873 7966 10067 10143 35620 10842 13477 15929 11134 35593 10890 15541 35679 11164 10550 16264
0.22 15638 12792 17198 10563 21949 15969 10998 10939 26723 10120 10530 10283 35874 7944 10060 10133 35632 10840 13487 15927 11139 35604 10893 15539 35682 11171 10541 16258
0.22 15640 12774 17182 10564 21919 16013 11002 10939 26698 10124 10525 10286 35876 7947 10055 10131 35615 10847 13487 15912 11147 35601 10898 15538 35680 11163 10550 16246
0.22 15643 12797 17189 10564 21938 15982 11002 10940 26693 10115 10525 10288 35887 7961 10062 10133 35614 10847 13489 15909 11148 35605 10893 15535 35677 11166 10548 16253
0.22 15633 12796 17195 10566 21964 15995 11000 10935 26708 10116 10525 10290 35887 7952 10059 10133 35619 10848 13482 15918 11136 35599 10895 15529 35678 11165 10553 16258
0.22 15615 12772 17224 10564 21929 16002 11004 10941 26702 10112 10526 10286 35882 7943 10060 10141 35626 10845 13485 15914 11139 35596 10889 15541 35678 11167 10552 16260
0.22 15627 12773 17196 10564 21935 15988 11003 10939 26679 10113 10525 10288 35865 7941 10063 10145 35623 10840 13489 15903 11139 35598 10887 15542 35668 11154 10551 16247
0.22 15627 12794 17232 10564 21930 15992 10998 10937 26676 10119 10524 10286 35885 7936 10064 10134 35616 10842 13498 15922 11139 35610 10886 15534 35667 11172 10549 16253
0.22 15645 12788 17195 10565 21917 15984 11002 10940 26707 10116 10526 10287 35870 7929 10072 10134 35630 10843 13485 15917 11141 35609 10892 15530 35683 11169 10547 16254
0.22 15653 12780 17168 10566 21939 15962 11009 10940 26721 10118 10529 10290 35866 7932 10068 10131 35621 10847 13501 15920 11140 35596 10892 15529 35682 11166 10539 16260
0.24 15640 12776 17188 10565 21935 15974 11003 10941 26687 10117 10530 10288 35874 7949 10065 10133 35633 10850 13484 15911 11137 35603 10890 15538 35673 11167 10541 16266
0.28 15611 12789 17211 10564 21943 15986 11005 10940 26695 10117 10566 10301 35878 7956 10089 10145 35627 10853 13486 15919 11144 35592 10885 15550 35668 11170 10545 16257
0.32 15628 12765 17217 10564 21925 15978 11019 10940 26682 10114 10583 10310 35857 7979 10103 10156 35612 10844 13478 15918 11141 35600 10888 15524 35682 11167 10542 16254
0.34 15601 12771 17202 10570 21943 15983 11017 10939 26704 10117 10604 10312 35871 7967 10114 10174 35606 10845 13490 15916 11129 35596 10882 15546 35676 11164 10545 16254
0.38 15644 12796 17212 10565 21910 16003 11015 10941 26693 10117 10623 10328 35867 7953 10141 10174 35604 10848 13512 15925 11133 35596 10888 15522 35681 11173 10543 16255
