0.16 15626 12776 17183 10547 21920 15917 10921 10917 26703 10027 10246 10254 35932 7879 9884 10085 35646 10833 13442 15862 11122 35572 10879 15506 35639 11150 10523 16206
0.16 15631 12755 17137 10549 21909 15904 10921 10917 26667 10027 10242 10253 35933 7917 9880 10087 35611 10836 13448 15878 11143 35588 10874 15495 35648 11155 10526 16213
0.16 15607 12752 17138 10549 21899 15895 10922 10917 26684 10026 10241 10247 35927 7908 9889 10079 35638 10834 13445 15860 11129 35574 10868 15498 35639 11146 10528 16209
0.16 15601 12770 17160 10548 21901 15904 10925 10919 26696 10013 10239 10244 35947 7904 9897 10090 35640 10840 13458 15872 11127 35588 10873 15505 35650 11148 10524 16219
0.16 15599 12758 17161 10546 21923 15901 10923 10917 26687 10015 10239 10243 35930 7905 9883 10086 35654 10835 13445 15867 11121 35589 10869 15517 35649 11151 10526 16228
0.16 15609 12777 17157 10542 21916 15909 10925 10915 26702 10021 10239 10248 35925 7913 9884 10082 35611 10833 13437 15874 11126 35590 10876 15518 35651 11147 10530 16220
0.16 15627 12772 17157 10543 21902 15886 10916 10915 26677 10020 10241 10245 35915 7911 9879 10094 35643 10828 13438 15864 11131 35577 10867 15514 35655 11151 10530 16213
0.18 15598 12758 17183 10542 21891 15909 10923 10919 26701 10018 10238 10252 35938 7918 9889 10091 35643 10829 13453 15867 11126 35579 10862 15504 35659 11149 10523 16208
0.16 15605 12743 17188 10542 21917 15901 10919 10917 26697 10036 10241 10247 35913 7910 9875 10081 35627 10831 13438 15863 11129 35578 10872 15479 35642 11153 10525 16216
0.16 15634 12755 17156 10544 21934 15919 10921 10917 26679 10020 10241 10247 35920 7933 9891 10098 35643 10829 13450 15869 11133 35575 10872 15492 35653 11149 10526 16215
0.18 15593 12743 17146 10547 21940 15905 10923 10916 26674 10024 10239 10244 35914 7898 9878 10084 35645 10835 13451 15868 11123 35583 10873 15506 35643 11154 10532 16223
0.18 15612 12774 17179 10545 21912 15915 10918 10915 26697 10023 10241 10252 35905 7898 9885 10081 35632 10830 13471 15865 11127 35575 10869 15501 35642 11147 10521 16219
0.2 15619 12741 17160 10548 21914 15918 10921 10916 26684 10018 10238 10244 35910 7868 9881 10088 35631 10826 13447 15869 11132 35567 10879 15517 35644 11146 10524 16209
0.26 15603 12762 17152 10543 21929 15915 10920 10917 26657 10025 10237 10241 35968 7922 9874 10083 35641 10836 13458 15877 11134 35578 10867 15506 35644 11142 10531 16215
0.42 15606 12784 17139 10544 21921 15925 10917 10918 26696 10025 10245 10243 36011 7947 9882 10085 35666 10850 13455 15873 11131 35584 10873 15499 35657 11154 10527 16227
0.56 15602 12761 17167 10543 21931 15910 10921 10915 26702 10024 10242 10245 36005 7981 9883 10089 35662 10854 13452 15851 11130 35578 10867 15505 35652 11148 10520 16209
0.94 15605 12761 17115 10546 21919 15923 10919 10915 26694 10018 10241 10244 36066 7959 9887 10085 35695 10867 13453 15866 11135 35581 10874 15503 35643 11137 10527 16212
1.36 15618 12758 17128 10546 21907 15915 10917 10915 26693 10022 10245 10240 36161 7999 9899 10085 35688 10882 13447 15861 11134 35584 10870 15498 35645 11132 10519 16214
1.8 15609 12766 17176 10548 21914 15895 10917 10915 26665 10027 10238 10238 36223 8021 9888 10082 35737 10877 13456 15854 11131 35572 10871 15501 35647 11140 10525 16224
2.34 15586 12755 17154 10545 21897 15898 10923 10915 26683 10022 10245 10236 36378 8005 9898 10077 35730 10894 13461 15872 11126 35568 10862 15511 35656 11147 10531 16218
3.14 15620 12749 17139 10546 21895 15917 10915 10916 26690 10019 10237 10233 36545 8065 9888 10085 35726 10895 13442 15857 11131 35577 10869 15505 35650 11146 10516 16227
3.72 15609 12760 17171 10545 21919 15901 10913 10915 26694 10034 10240 10233 36637 8079 9909 10078 35769 10894 13460 15864 11123 35573 10862 15503 35655 11149 10518 16219
4.32 15590 12755 17140 10549 21917 15890 10913 10917 26678 10019 10237 10238 36755 8150 9902 10080 35795 10898 13464 15863 11123 35563 10858 15493 35655 11143 10528 16197
4.88 15621 12776 17123 10546 21936 15894 10915 10915 26704 10031 10233 10236 36827 8133 9896 10079 35794 10899 13466 15863 11121 35561 10869 15497 35659 11153 10523 16225
5.58 15621 12760 17144 10547 21932 15884 10912 10914 26695 10021 10239 10235 36904 8178 9904 10082 35797 10900 13457 15850 11124 35559 10869 15495 35655 11143 10521 16227
6.7 15619 12746 17119 10548 21929 15874 10915 10915 26734 10028 10238 10232 36987 8257 9908 10083 35811 10910 13459 15863 11121 35548 10869 15513 35656 11145 10521 16223
7.7 15635 12751 17137 10548 21937 15922 10906 10916 26706 10032 10232 10231 37077 8281 9899 10083 35863 10901 13446 15849 11124 35541 10869 15495 35645 11142 10524 16228
9.12 15620 12765 17142 10547 21914 15901 10908 10914 26747 10019 10242 10232 37129 8368 9901 10077 35879 10904 13452 15848 11105 35544 10866 15508 35651 11146 10522 16220
11.84 15608 12748 17158 10550 21927 15870 10903 10914 26709 10016 10236 10238 37199 8445 9897 10084 35910 10895 13452 15847 11112 35527 10861 15503 35652 11146 10521 16226
14.3 15601 12749 17152 10547 21919 15895 10905 10915 26735 10017 10240 10233 37297 8505 9895 10079 35932 10905 13450 15848 11109 35528 10857 15502 35657 11147 10517 16231
15.56 15599 12748 17145 10548 21949 15888 10903 10917 26716 10038 10235 10233 37327 8560 9905 10069 35976 10911 13444 15852 11105 35531 10857 15507 35654 11138 10527 16242
16.4 15635 12733 17124 10549 21924 15873 10904 10915 26730 10029 10230 10229 37360 8558 9915 10084 35980 10911 13459 15858 11099 35515 10857 15488 35644 11134 10518 16235
17.52 15591 12754 17136 10548 21924 15885 10900 10915 26735 10014 10232 10231 37390 8574 9916 10083 35977 10909 13446 15838 11099 35509 10853 15506 35651 11142 10524 16214
18.58 15619 12743 17155 10547 21925 15867 10908 10913 26729 10015 10233 10227 37403 8563 9898 10083 35986 10917 13453 15842 11093 35522 10860 15501 35639 11150 10522 16232
19.12 15611 12747 17142 10549 21915 15887 10900 10914 26738 10022 10234 10226 37447 8583 9922 10082 36008 10915 13444 15851 11091 35511 10862 15506 35649 11137 10519 16226
20.02 15624 12756 17148 10548 21919 15874 10900 10915 26736 10034 10237 10229 37447 8627 9908 10073 35998 10919 13442 15850 11100 35504 10855 15502 35655 11142 10519 16229
20.74 15638 12749 17150 10549 21923 15888 10904 10915 26739 10015 10242 10228 37486 8645 9903 10072 36005 10922 13453 15852 11087 35510 10864 15505 35648 11145 10527 16238
21.92 15602 12756 17119 10551 21912 15871 10899 10913 26725 10029 10240 10230 37498 8679 9915 10080 36039 10922 13467 15856 11097 35514 10863 15516 35659 11141 10531 16233
22.6 15594 12739 17175 10548 21923 15870 10900 10914 26743 10027 10235 10232 37511 8696 9919 10077 36021 10929 13460 15845 11097 35504 10854 15519 35646 11152 10525 16251
23.56 15604 12721 17144 10551 21908 15857 10899 10914 26727 10020 10242 10228 37553 8777 9919 10071 36049 10938 13462 15854 11084 35504 10849 15503 35658 11139 10525 16238
24.84 15604 12745 17143 10547 21932 15884 10898 10917 26741 10034 10239 10236 37569 8742 9931 10074 36046 10942 13461 15859 11085 35508 10852 15503 35665 11141 10531 16237
26.72 15620 12736 17136 10549 21932 15846 10903 10915 26755 10024 10242 10236 37577 8764 9920 10083 36065 10955 13449 15849 11087 35501 10867 15503 35665 11134 10530 16243
28.02 15597 12751 17139 10554 21922 15877 10896 10915 26734 10022 10239 10230 37622 8777 9927 10079 36061 10957 13455 15851 11082 35503 10859 15503 35658 11140 10530 16234
28.74 15605 12762 17126 10551 21904 15883 10899 10915 26746 10040 10238 10237 37635 8782 9921 10088 36067 10961 13444 15850 11077 35501 10849 15512 35647 11134 10530 16221
29.68 15617 12739 17119 10553 21955 15883 10897 10916 26760 10028 10246 10233 37621 8812 9932 10080 36104 10967 13456 15849 11083 35496 10859 15509 35652 11144 10525 16242
30.54 15640 12762 17126 10552 21916 15867 10901 10915 26738 10039 10243 10231 37635 8845 9928 10084 36094 10968 13455 15849 11069 35502 10861 15503 35657 11138 10535 16237
32.34 15612 12763 17163 10552 21919 15844 10897 10915 26772 10029 10247 10233 37685 8835 9931 10081 36112 10971 13476 15862 11076 35500 10859 15509 35648 11147 10532 16245
33.24 15619 12730 17143 10552 21907 15864 10893 10917 26756 10027 10246 10227 37704 8847 9937 10083 36079 10973 13446 15856 11080 35504 10859 15516 35664 11145 10530 16241
34.42 15601 12734 17134 10551 21908 15871 10905 10916 26794 10025 10247 10229 37711 8887 9934 10077 36101 10972 13473 15857 11079 35500 10848 15513 35647 11143 10530 16238
36.48 15613 12732 17135 10555 21929 15893 10900 10917 26773 10035 10251 10230 37715 8881 9937 10078 36104 10983 13470 15859 11074 35496 10852 15509 35659 11138 10526 16238
38.3 15625 12751 17139 10556 21938 15849 10900 10915 26785 10027 10250 10229 37759 8922 9942 10080 36137 10984 13459 15861 11071 35496 10857 15510 35646 11144 10530 16242
40.7 15612 12725 17150 10553 21932 15870 10895 10917 26794 10043 10248 10234 37774 8896 9948 10081 36112 10982 13465 15848 11061 35489 10856 15515 35658 11140 10531 16246
