0.12 15610 12680 17067 10523 21815 15821 10856 10877 26556 9958 10161 10219 35792 7802 9835 10054 35606 10770 13418 15843 11061 35514 10847 15514 35586 11076 10523 16198
0.12 15620 12684 17103 10523 21846 15817 10851 10875 26557 9934 10167 10220 35785 7822 9840 10051 35591 10772 13416 15838 11059 35516 10844 15499 35587 11078 10518 16209
0.12 15608 12680 17084 10523 21844 15796 10852 10877 26544 9924 10161 10228 35824 7812 9831 10053 35588 10777 13412 15839 11054 35529 10848 15502 35581 11083 10523 16221
0.12 15599 12658 17090 10521 21825 15809 10851 10879 26586 9931 10161 10225 35773 7797 9826 10045 35597 10774 13392 15837 11057 35527 10853 15499 35588 11077 10521 16206
0.12 15610 12656 17075 10523 21833 15824 10854 10876 26595 9943 10158 10222 35809 7846 9838 10046 35589 10767 13412 15846 11058 35522 10845 15507 35592 11083 10516 16210
0.12 15585 12665 17092 10520 21843 15780 10849 10877 26559 9945 10165 10226 35807 7850 9820 10048 35583 10772 13403 15832 11052 35521 10844 15514 35589 11085 10521 16209
0.12 15588 12689 17107 10522 21853 15816 10847 10875 26568 9926 10158 10222 35785 7861 9846 10050 35577 10770 13413 15852 11057 35524 10845 15509 35602 11087 10517 16212
0.12 15596 12679 17091 10523 21823 15815 10852 10877 26551 9938 10169 10219 35809 7811 9820 10062 35562 10771 13411 15831 11057 35526 10849 15494 35589 11078 10516 16198
0.12 15614 12656 17090 10521 21850 15835 10851 10875 26544 9931 10164 10222 35807 7818 9817 10054 35581 10770 13422 15845 11056 35523 10841 15494 35591 11072 10515 16199
0.12 15580 12698 17098 10525 21839 15814 10851 10875 26552 9928 10161 10221 35808 7798 9823 10055 35584 10771 13418 15851 11062 35521 10846 15510 35588 11081 10516 16215
0.14 15612 12699 17088 10519 21853 15800 10846 10875 26549 9950 10171 10221 35800 7878 9822 10045 35592 10769 13400 15853 11056 35513 10855 15497 35581 11086 10526 16217
0.18 15586 12668 17076 10516 21843 15812 10847 10877 26533 9936 10171 10225 35801 7856 9821 10046 35570 10764 13405 15832 11060 35507 10842 15497 35589 11078 10524 16216
0.28 15598 12683 17111 10521 21846 15826 10847 10875 26525 9930 10159 10218 35816 7854 9822 10051 35578 10768 13403 15845 11065 35515 10842 15485 35593 11080 10537 16222
0.36 15591 12696 17075 10521 21841 15809 10849 10880 26566 9940 10156 10217 35815 7856 9824 10051 35598 10764 13414 15827 11056 35507 10844 15508 35576 11078 10560 16223
0.46 15608 12673 17100 10518 21848 15813 10852 10877 26559 9939 10155 10218 35816 7831 9828 10047 35588 10768 13404 15851 11057 35525 10848 15485 35593 11088 10581 16230
